label,n_samples,video_accuracy,avg_confidence
abseiling,3,0.6666666666666666,0.7788500558881944
air drumming,3,0.6666666666666666,0.772890793609673
answering questions,3,0.6666666666666666,0.7669188396916503
applauding,3,0.3333333333333333,0.7145407557487489
applying cream,3,0.6666666666666666,0.7189137401404203
archery,3,0.6666666666666666,0.7278916482823062
arm wrestling,3,1.0,0.999428831963312
arranging flowers,3,1.0,0.9967131234350658
assembling computer,3,1.0,0.9218178949098287
auctioning,3,1.0,0.6170814439313473
baby waking up,3,1.0,0.5972638172518547
baking cookies,3,1.0,0.5568904420382631
balloon blowing,3,1.0,0.9840968826571767
bandaging,3,1.0,0.8101534258064805
barbequing,3,1.0,0.8513979894356902
bartending,3,0.6666666666666666,0.7601566083394188
beatboxing,2,0.5,0.27405810533534913
